accountNumber,accountName,itemNumber,itemDescription,itemPack,itemSize,itemLabel,itemWeight,RandomWeight,itemCost,itemCaseCost,caseQuantity,totalSales,payeeNumber,payeeName,Food Show Year
590487,BCFS HEALTH & HUMAN SERVICES-CHAVANEAUX,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,2,74,105333,"TYSON FOODS, INC.",2016
596531,NUECES CAFE-ACH#2066,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,8,296,105333,"TYSON FOODS, INC.",2016
612715,LOU'S WOOD FIRE PIZZA,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,7,259,105333,"TYSON FOODS, INC.",2016
602,BABY ACAPULCO ACCOUNTS,11423,TENDERLOIN FRITTER HMSTYL,1,10 LB,TYSON,11.06,N,21.5,21.5,1,21.5,105333,"TYSON FOODS, INC.",2016
237922,INN AT LOS PATIOS,11423,TENDERLOIN FRITTER HMSTYL,1,10 LB,TYSON,11.06,N,21.5,21.5,2,43,105333,"TYSON FOODS, INC.",2016
340073,MARINE MILITARY ACADEMY,11423,TENDERLOIN FRITTER HMSTYL,1,10 LB,TYSON,11.06,N,21.5,21.5,30,645,105333,"TYSON FOODS, INC.",2016
545244,FIRST BAPTIST SCHOOL-CORPUS,11423,TENDERLOIN FRITTER HMSTYL,1,10 LB,TYSON,11.06,N,21.5,21.5,4,86,105333,"TYSON FOODS, INC.",2016
623660,FORT SAM HOUSTON CC BOWLING CENTER,11423,TENDERLOIN FRITTER HMSTYL,1,10 LB,TYSON,11.06,N,21.5,21.5,6,129,105333,"TYSON FOODS, INC.",2016
845,BLIMPIE ACCOUNTS,11425,CHICKEN STRIP GRILLED FC,2,5 LB,TYSON RL,10,N,33.5,33.5,23,770.5,105333,"TYSON FOODS, INC.",2016
431,TEX-BEST/EL TIGRE-LA LOMITA INC.,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,182,4550,105333,"TYSON FOODS, INC.",2016
800,PRAIRIE KITCHEN ACCOUNTS,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,57,1425,105333,"TYSON FOODS, INC.",2016
994,Juice Bar,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,1200,30000,105333,"TYSON FOODS, INC.",2016
237922,INN AT LOS PATIOS,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,2,50,105333,"TYSON FOODS, INC.",2016
413240,SCHLITTERBAHN SOUTH PADRE ISLAND,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,283,7075,105333,"TYSON FOODS, INC.",2016
458600,BAY B BOOMERS-LAGUNA VISTA,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,3,75,105333,"TYSON FOODS, INC.",2016
490938,SCHLITTERBAHN GALVESTON,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,355,8875,105333,"TYSON FOODS, INC.",2016
525197,"LMBI, L.P.-EL COYOTE",11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,4,100,105333,"TYSON FOODS, INC.",2016
602620,SCHLITTERBAHN CORPUS-VERANDA,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,11,275,105333,"TYSON FOODS, INC.",2016
603988,SCHLITTERBAHN SOUTH PADRE BEACH RESORT,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,64,1600,105333,"TYSON FOODS, INC.",2016
604011,MEL'S LONE STAR LANES,11428,"CHICK,TNDR/HMSTL BRD RW PREM",2,5 LB,TYSON RLP,10.81,N,25,25,21,525,105333,"TYSON FOODS, INC.",2016
118,K-BOB'S ACCOUNTS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,2,36,105333,"TYSON FOODS, INC.",2016
307,ANTOJITOS YOLIS ACCOUNTS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,2,36,105333,"TYSON FOODS, INC.",2016
431,TEX-BEST/EL TIGRE-LA LOMITA INC.,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,56,1008,105333,"TYSON FOODS, INC.",2016
711,KHAN'S GRILL ACCOUNTS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,18,324,105333,"TYSON FOODS, INC.",2016
866,DAIRY QUEEN-TEXAS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,3,54,105333,"TYSON FOODS, INC.",2016
990,TAQUERIA EL ZARAPE,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,10,180,105333,"TYSON FOODS, INC.",2016
103063,CAMP MYSTIC INCORPORATED,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,1,18,105333,"TYSON FOODS, INC.",2016
103144,CAMP RIO VISTA,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,21,378,105333,"TYSON FOODS, INC.",2016
120294,SAMMY'S RESTAURANT,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,4,72,105333,"TYSON FOODS, INC.",2016
302872,CAMP CHAMPIONS TX-MARBLE FALLS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,14,252,105333,"TYSON FOODS, INC.",2016
360449,BEEFY BURGER-ROBSTOWN,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,7,126,105333,"TYSON FOODS, INC.",2016
371696,SIDE DOOR CAFE-FALFURRIAS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,1,18,105333,"TYSON FOODS, INC.",2016
376019,BARRERA'S FRIED CHICKEN-ROBSTOWN,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,1,18,105333,"TYSON FOODS, INC.",2016
545244,FIRST BAPTIST SCHOOL-CORPUS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,6,108,105333,"TYSON FOODS, INC.",2016
551899,WESTOVER HILLS LEARNING CENTER,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,9,162,105333,"TYSON FOODS, INC.",2016
580570,TYCOON FLATS-ST. MARY'S-ACH#1866,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,5,90,105333,"TYSON FOODS, INC.",2016
611913,SALVATION ARMY CORPUS CHRISTI,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,1,18,105333,"TYSON FOODS, INC.",2016
634824,CAMP LONGHORN LTD.-C3 ON INKSLAKE,11452,"CHICK, BL S/L BREAST IF 4 OZ",2,5 LB,TYSON,10.67,N,25.88,25.88,4,103.52,105333,"TYSON FOODS, INC.",2016
293849,CAMP BALCONES SPRINGS,12166,PUB BURGER FC,40,4 OZ,ADVANCE,10.8,N,54.94,54.94,20,1098.8,157250,ADVANCEPIERRE FOODS,2016
595640,"NATURAL BRIDGE CAVERNS, INC.",12166,PUB BURGER FC,40,4 OZ,ADVANCE,10.8,N,54.94,54.94,4,219.76,157250,ADVANCEPIERRE FOODS,2016
633,PARENT CHILD ACCOUNTS,13002,"CHICKEN,DICED WHT,1/2"" LS FC",1,10 LB,TYSON,10.55,N,31,31,36,1116,105333,"TYSON FOODS, INC.",2016
320358,BEXAR COUNTY MENTALLY IMPAIRED FACILITY,13002,"CHICKEN,DICED WHT,1/2"" LS FC",1,10 LB,TYSON,10.55,N,31,31,2,62,105333,"TYSON FOODS, INC.",2016
544124,EL PASO STATE SUPPORTED LIVING CENTER,13002,"CHICKEN,DICED WHT,1/2"" LS FC",1,10 LB,TYSON,10.55,N,31,31,23,713,105333,"TYSON FOODS, INC.",2016
586161,ORIGINS RECOVERY OF TEXAS-BOYS HOUSE,14190,SAUSAGE PTY FC FASTESY,80,2 OZ,HORMEL,10,N,21.75,21.75,3,65.25,102407,HORMEL FOODS,2016
321567,STERLING AFFAIRS-AUSTIN ACH#326,14260,"BACON, SLCD THIN BULK 9SLC""",1,10 LB,WRIGHT,10.73,N,36.95,36.95,1,36.95,105333,"TYSON FOODS, INC.",2016
303,CHILOSO'S MEXICAN BISTRO,14404,CATFISH FILLET 5-7OZ CHINA,1,15 LB,PACKER,16,N,56.1,56.1,4,224.4,234250,HOUSTON SEAFOOD,2016
701,FOOD FUSION INC.,14404,CATFISH FILLET 5-7OZ CHINA,1,15 LB,PACKER,16,N,56.1,56.1,1,56.1,234250,HOUSTON SEAFOOD,2016
614947,UNITED FACILITY SERVICES CORPORATION,14404,CATFISH FILLET 5-7OZ CHINA,1,15 LB,PACKER,16,N,56.1,56.1,1,56.1,234250,HOUSTON SEAFOOD,2016
902,GREEN VEGETARIAN CUISINE,14530,"QUINOA,PRE WASHED",1,25 LB,ROLAND,25,N,80.87,80.87,10,808.7,105481,AMERICAN ROLAND FOOD CORPORATION,2016
914,HEB DEPARTMENT ACCOUNTS,14530,"QUINOA,PRE WASHED",1,25 LB,ROLAND,25,N,80.87,80.87,19,1536.53,105481,AMERICAN ROLAND FOOD CORPORATION,2016
604011,MEL'S LONE STAR LANES,15000,FAJITAS BEEF SKIRT SEAS RAW,2,5 LB,CARLS,11,N,52.5,52.5,1,52.5,200200,"EDDY PACKING CO., INC.",2016
614947,UNITED FACILITY SERVICES CORPORATION,15000,FAJITAS BEEF SKIRT SEAS RAW,2,5 LB,CARLS,11,N,52.5,52.5,2,105,200200,"EDDY PACKING CO., INC.",2016
353,KIDVENTURE CAMPS,15467,CHEESE STRING MOZZARELLA IW,96,1 OZ.,FRIGO,6.69,N,17.72,17.72,22,389.84,225250,SAPUTO CHEESE,2016
586161,ORIGINS RECOVERY OF TEXAS-BOYS HOUSE,15467,CHEESE STRING MOZZARELLA IW,96,1 OZ.,FRIGO,6.69,N,17.72,17.72,6,106.32,225250,SAPUTO CHEESE,2016
155,RUSSO'S NEW YORK PIZZERIA,15470,CHEESE GORGONZOLA 12 WHEEL,1,7 LB.,STELLA,8.53,Y,2.68,22.8604,17,388.6268,225250,SAPUTO CHEESE,2016
103047,HEART OF THE HILLS CAMP,15470,CHEESE GORGONZOLA 12 WHEEL,1,7 LB.,STELLA,8.53,Y,2.68,22.8604,1,22.8604,225250,SAPUTO CHEESE,2016
194727,CAPPY'S INC.,15470,CHEESE GORGONZOLA 12 WHEEL,1,7 LB.,STELLA,8.53,Y,2.68,22.8604,1,22.8604,225250,SAPUTO CHEESE,2016
601527,A ROMA ITALIAN KITCHEN & BAR,15470,CHEESE GORGONZOLA 12 WHEEL,1,7 LB.,STELLA,8.53,Y,2.68,22.8604,2,45.7208,225250,SAPUTO CHEESE,2016
624586,HOUSTON STREET BISTRO-ACH#2456,15470,CHEESE GORGONZOLA 12 WHEEL,1,7 LB.,STELLA,8.53,Y,2.68,22.8604,1,22.8604,225250,SAPUTO CHEESE,2016
993,UNIVERSITY HEALTH SYSTEM,15475,CHEDDAR CUBES,2,5#,SCHREIBER,12,N,25.49,25.49,12,305.88,168040,SCHREIBER CHEESE,2016
160229,CAMP LONGHORN LTD. INKS LAKE,15475,CHEDDAR CUBES,2,5#,SCHREIBER,12,N,25.49,25.49,1,25.49,168040,SCHREIBER CHEESE,2016
242926,ECHO HOTEL-CLAY INT.,15475,CHEDDAR CUBES,2,5#,SCHREIBER,12,N,25.49,25.49,3,76.47,168040,SCHREIBER CHEESE,2016
116,SOCIAL HOUSE,15742,CHEDDAR WHITE SHARP,1,10 LB,SCHREIBER,10.5,N,29.49,29.49,40,1179.6,168040,SCHREIBER CHEESE,2016
347,MCGUIRE MOORMAN HOSPITALITY,15742,CHEDDAR WHITE SHARP,1,10 LB,SCHREIBER,10.5,N,29.49,29.49,11,324.39,168040,SCHREIBER CHEESE,2016
776,I FRATELLI ACCOUNTS,15742,CHEDDAR WHITE SHARP,1,10 LB,SCHREIBER,10.5,N,29.49,29.49,1,29.49,168040,SCHREIBER CHEESE,2016
601004,ZEDS RESTAURANT,15742,CHEDDAR WHITE SHARP,1,10 LB,SCHREIBER,10.5,N,29.49,29.49,3,88.47,168040,SCHREIBER CHEESE,2016
219,RANDOLPH AFB ENLISTED AND OFFICERS CLUB,16081,SOUP BOSTON CLAM CHOWDER,3,4LB.,CAMPBELLS,13,N,37.05,37.05,3,111.15,100986,CAMPBELL FOODSERVICE COMPANY,2016
551899,WESTOVER HILLS LEARNING CENTER,16243,BUTTER WHIPPED EURO STYLE,4,5 LB,SUN GLOW,22,N,26.56,26.56,1,26.56,165690,"VENTURA FOODS, INC.",2016
580570,TYCOON FLATS-ST. MARY'S-ACH#1866,16318,"HAMBURGER BUN, SOUR SPLIT TP",48,2.88 OZ,ROTELLA,10.41,N,17.64,17.64,69,1217.16,190030,"ROTELLA BAKERIES, INC.",2016
216,"HEAD START OF GREATER DALLAS, INC.",16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,17,645.32,102776,"KNOUSE FOODS, INC.",2016
455,CHILDREN LEARNING ADVENTURE ACCOUNTS,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,34,1290.64,102776,"KNOUSE FOODS, INC.",2016
734,XPLOR-NOBEL LEARNING COMMUNITIES INC.,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,8,303.68,102776,"KNOUSE FOODS, INC.",2016
103144,CAMP RIO VISTA,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,2,75.92,102776,"KNOUSE FOODS, INC.",2016
233323,EVINS REGIONAL JUVENILE CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,5,189.8,102776,"KNOUSE FOODS, INC.",2016
292389,AUSTIN STATE SUPPORTED LIVING CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,14,531.44,102776,"KNOUSE FOODS, INC.",2016
321133,MEXIA STATE SUPPORTED LIVING CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,2,75.92,102776,"KNOUSE FOODS, INC.",2016
321613,RICHMOND STATE SUPPORTED LIVING CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,15,569.4,102776,"KNOUSE FOODS, INC.",2016
324566,LUFKIN STATE SUPPORTIVE LIVING CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,3,113.88,102776,"KNOUSE FOODS, INC.",2016
544124,EL PASO STATE SUPPORTED LIVING CENTER,16519,APPLES SLICED WATER PACK,6,#10,MUSSELMAN,46,N,37.96,37.96,2,75.92,102776,"KNOUSE FOODS, INC.",2016
219,RANDOLPH AFB ENLISTED AND OFFICERS CLUB,17595,"BACON, 14/18 APPLEWD SMOKED",2,10 LB,WRIGHT,21.23,N,75.88,75.88,3,227.64,105333,"TYSON FOODS, INC.",2016
347,MCGUIRE MOORMAN HOSPITALITY,17595,"BACON, 14/18 APPLEWD SMOKED",2,10 LB,WRIGHT,21.23,N,75.88,75.88,19,1441.72,105333,"TYSON FOODS, INC.",2016
866,DAIRY QUEEN-TEXAS,18830,"MAYONNAISE, REAL",1,1 GAL,BEST FOODS,8,N,14.3,14.3,1,14.3,107115,UNILEVER BESTFOODS,2016
292389,AUSTIN STATE SUPPORTED LIVING CENTER,18955,AU JUS PREP,12,1 LB,MINORS,17.79,N,81.73,81.73,1,81.73,100994,NESTLE BRANDS,2016
324620,RUSK STATE HOSPITAL,18955,AU JUS PREP,12,1 LB,MINORS,17.79,N,81.73,81.73,1,81.73,100994,NESTLE BRANDS,2016
324655,SAN ANGELO STATE SUPPORTED LIVING CENTER,18955,AU JUS PREP,12,1 LB,MINORS,17.79,N,81.73,81.73,1,81.73,100994,NESTLE BRANDS,2016
559032,SKILLETS RESTAURANT #93-DEL RIO-ACH#1665,18955,AU JUS PREP,12,1 LB,MINORS,17.79,N,81.73,81.73,1,81.73,100994,NESTLE BRANDS,2016
198,TIA JUANA'S,18961,BEEF AU JUS CONC NAMSG,6,1 LB,MINORS,6.76,N,47.08,47.08,1,47.08,102806,"NESTLE USA, INC.",2016
800,PRAIRIE KITCHEN ACCOUNTS,18961,BEEF AU JUS CONC NAMSG,6,1 LB,MINORS,6.76,N,47.08,47.08,1,47.08,102806,"NESTLE USA, INC.",2016
324566,LUFKIN STATE SUPPORTIVE LIVING CENTER,18961,BEEF AU JUS CONC NAMSG,6,1 LB,MINORS,6.76,N,47.08,47.08,3,141.24,102806,"NESTLE USA, INC.",2016
118,K-BOB'S ACCOUNTS,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,9,454.23,103721,MCCAIN FOODSERVICE,2016
155,RUSSO'S NEW YORK PIZZERIA,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,16,807.52,103721,MCCAIN FOODSERVICE,2016
370479,COUNTRY PANCAKE HOUSE,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,1,50.47,103721,MCCAIN FOODSERVICE,2016
402672,COUNTRY PANCAKE HOUSE-PHARR-ACH #213,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,1,50.47,103721,MCCAIN FOODSERVICE,2016
527203,STRICKLAND'S RESTAURANT $$$,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,1,50.47,103721,MCCAIN FOODSERVICE,2016
530166,SKILLET'S-TORK-EAGLE PASS,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,3,151.41,103721,MCCAIN FOODSERVICE,2016
551864,TEXAS STATE AQUARIUM ASSOCIATION,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,1,50.47,103721,MCCAIN FOODSERVICE,2016
601438,SULLY'S BOWLING LANES,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,0,0,103721,MCCAIN FOODSERVICE,2016
603988,SCHLITTERBAHN SOUTH PADRE BEACH RESORT,19410,"MOZZARELLA STICK, BRD 3.25""",4,3 LB,ANCHOR,14,N,50.47,50.47,8,403.76,103721,MCCAIN FOODSERVICE,2016
448605,PITTI'S PIZZA-BROWNSVILLE,19411,"FIVE CHEESE PLANK, BREADED",2,4 LB,ANCHOR,8,N,33.85,33.85,7,236.95,103721,MCCAIN FOODSERVICE,2016
458600,BAY B BOOMERS-LAGUNA VISTA,19411,"FIVE CHEESE PLANK, BREADED",2,4 LB,ANCHOR,8,N,33.85,33.85,1,33.85,103721,MCCAIN FOODSERVICE,2016
547158,PAPA JOE'S BURGERS AND STUFF $$$$,19411,"FIVE CHEESE PLANK, BREADED",2,4 LB,ANCHOR,8,N,33.85,33.85,4,135.4,103721,MCCAIN FOODSERVICE,2016
902,GREEN VEGETARIAN CUISINE,19702,BEAN GARBANZO,1,20 LB,JackRabbit,20.88,N,20.1,20.1,31,623.1,195580,TRINIDAD BENHAM CORP,2016
458600,BAY B BOOMERS-LAGUNA VISTA,19908,POTATO SKINS REGULAR,4,4.25 LB,MCCAIN,18.66,N,28.14,28.14,1,28.14,103721,MCCAIN FOODSERVICE,2016
100684,ANDY'S COUNTRY KITCHEN-CORPUS-ACH#1012,20038,SOUP CREAM OF POTATO,4,4LB,CHEF FRAN,17,N,36.9,36.9,1,36.9,229630,HEINZ (AMERICOLD FROZEN),2016
293849,CAMP BALCONES SPRINGS,20040,"SOUP, CRMY TOMATO BISQUE MLK",4,4 LB,CHEF FRAN,17,N,38.66,38.66,1,38.66,229630,HEINZ (AMERICOLD FROZEN),2016
