accountNumber,accountName,itemNumber,itemDescription,itemPack,itemSize,itemLabel,itemWeight,RandomWeight,itemCost,itemCaseCost,caseQuantity,totalSales,vendorGroupNumber,vendorGroupName,Food Show Year
2,ALAMO CAFE'S,5607118,"BROOM WAREHOUSE HVY DUTY 58""",1,1 EA,ACS,2.67,N,5.2,5.2,2,10.4,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5659535,MOPHEAD COTTN CUTEND WHTE MD,1,24 OZ,ACS,1.5,N,3.36,3.36,26,87.36,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5663000,"PAD, GRILL, BLK 4X6",6,10 CT,ACS,2.5,N,11.62,11.62,2,23.24,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5663006,"SCRUBBER, SS, 50GR",1,12 CT,ACS,1.92,N,3.55,3.55,6,21.3,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5663008,GRILL BRICK,1,12 CT,ACS,7,N,14.01,14.01,2,28.02,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5663039,"SQUEEGIE, 22"" PLST THREADED",1,1 CT,ACS,0.67,N,12.05,12.05,14,168.7,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,5730073,"LINER, 50GAL .51ML 50LB CLR",250,40 X 46,A E P,16.1,N,26.55,26.55,18,477.9,214710,AEP INDUSTRIES INC,2017
2,ALAMO CAFE'S,6181036,"BAY LEAVES, WHOLE",1,2 OZ,DURKEE,0.33,N,6.54,6.54,2,13.08,165230,"ACH FOOD COMPANIES, INC",2017
2,ALAMO CAFE'S,6184303,LEMON PEPPER SEASONING,1,27 OZ,DURKEE,2,N,8.99,8.99,2,17.98,165230,"ACH FOOD COMPANIES, INC",2017
2,ALAMO CAFE'S,6187777,"SEASONING, ROASTED GARLIC",1,21 OZ,DURKEE,1.52,N,10.65,10.65,8,85.2,165230,"ACH FOOD COMPANIES, INC",2017
2,ALAMO CAFE'S,6187794,"ANCHO CHILE PEPPER, GROUND",1,16 OZ,DURKEE,1,N,11.49,11.49,2,22.98,165230,"ACH FOOD COMPANIES, INC",2017
2,ALAMO CAFE'S,6313027,"SALT, CUBETT WATER SOFTENING",1,50 LB,UNITEDSALT,50.5,N,6.17,6.17,40,246.8,136646,UNITED SALT CORPORATION,2017
2,ALAMO CAFE'S,6313035,"SALT, EVAPORATED FOOD GRADE",1,50 LB,UNITEDSALT,50.5,N,5.92,5.92,36,213.12,136646,UNITED SALT CORPORATION,2017
2,ALAMO CAFE'S,6318091,"SALT, CARTONS KOSHER",12,3 LB,MORTON,39.3,N,20.99,20.99,1,20.99,103470,"MORTON SALT, INC.",2017
2,ALAMO CAFE'S,6397509,"BAKING POWDER, 40 LB",4,10 LB.,CLABBER GL,43.6,N,60.28,60.28,16,964.48,102458,CLABBER GIRL CORPORATION,2017
2,ALAMO CAFE'S,6522006,"HAND SOAP, BOTANCIAL FOAM",3,1250 ML,GOJO ADX12,9.1,N,33.18,33.18,2,66.36,242200,"GOJO INDUSTRIES, INC.",2017
2,ALAMO CAFE'S,6522011,"HAND SANITIZER, PURELL FOAM",3,1200 ML,GOJO ADX12,7.6,N,53.64,53.64,2,107.28,242200,"GOJO INDUSTRIES, INC.",2017
2,ALAMO CAFE'S,6561201,"FUEL,DEG CHAFING DISH 6-HR",24,7.14 OZ,STERNO CL,16,N,37.67,37.67,2,75.34,261050,"CANDLE LAMP COMPANY, LLC",2017
2,ALAMO CAFE'S,6561202,"FUEL,METHANOL DISH 2-HR",72,6.7 OZ,STERNO CL,37.5,N,35.26,35.26,2,70.52,261050,"CANDLE LAMP COMPANY, LLC",2017
2,ALAMO CAFE'S,6698255,"TISSUE,TANDEM JRT 3.54X1400",6,1400',PERFORM,16,N,20.89,20.89,18,376.02,214650,CASCADE TISSUE,2017
2,ALAMO CAFE'S,6698294,"TISSUE, TOILET 2PLY CORELESS",36,1000 SHTS,COMPACT,23.89,N,56.85,56.85,6,341.1,198790,GP CONSUMER PRODUCTS LP,2017
2,ALAMO CAFE'S,6717170,"NAPKIN, BEV 1PLY WHT 8.5x8.5",4000,1 CT,SELECT,10,N,11.33,11.33,8,90.64,214650,CASCADE TISSUE,2017
2,ALAMO CAFE'S,6728011,NAPKIN BAND WHITE,8,2500 CT,ROYAL,19,N,69.5,69.5,4,278,104388,ROYAL PAPER PRODUCTS,2017
2,ALAMO CAFE'S,6793123,"GLOVES, NITRILE SMALL",4,250 CT,JOB SELECT,7.05,N,49.32,49.32,4,197.28,188820,FOODHANDLER #774348,2017
2,ALAMO CAFE'S,6793125,"GLOVES, NITRILE XLARGE",4,250 CT,JOB SELECT,9,N,49.32,49.32,6,295.92,188820,FOODHANDLER #774348,2017
2,ALAMO CAFE'S,6793126,"GLOVES, NITRILE LARGE",4,250 CT,JOB SELECT,8.8,N,49.32,49.32,22,1085.04,188820,FOODHANDLER #774348,2017
2,ALAMO CAFE'S,6814301,"TOWEL, ROLL WHITE 10""X 800'",6,800',ENMOTION,29.37,N,55.75,55.75,24,1338,198790,GP CONSUMER PRODUCTS LP,2017
2,ALAMO CAFE'S,6844005,"FOIL, HEAVY DUTY 18X1000",1,1 CT,HFA,19.6,N,48.72,48.72,2,97.44,262730,"HFA, INC.",2017
2,ALAMO CAFE'S,6963459,"PAN, HALF STEAM TABLE, DEEP",100,12X10X2.5,HFA,10,N,23.56,23.56,4,94.24,262730,"HFA, INC.",2017
2,ALAMO CAFE'S,6963467,"LID, FOIL 1/2SIZE STEAM PAN",1,100 CT,HFA,5.5,N,15.86,15.86,4,63.44,262730,"HFA, INC.",2017
2,ALAMO CAFE'S,7082000,"FILM, SEAL WRAP CUTTER BOX",1,"18""X2000'",A E P,9.5,N,16.87,16.87,10,168.7,214710,AEP INDUSTRIES INC,2017
2,ALAMO CAFE'S,7146939,"LID, SOUFFLE 3.25-5.5 OZ CLR",2500,1 CT,SOLO,12,N,33.17,33.17,2,66.34,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7210255,"CUP, 4.5 OZ CONE PAPER WHITE",5000,1 CT,SOLO,26,N,41,41,2,82,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7251267,"CUP, 14 OZ RIB TRANSLUCENT",20,50 CT,DART,20.1,N,43.25,43.25,2,86.5,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7303334,"LID, 20 SERIES STRAW SLOT TR",1000,1 CT,DART,8,N,24.99,24.99,14,349.86,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7308000,"LID, 16 SERIES STRAW SLOT TR",1000,1 CT,DART,6.7,N,15.58,15.58,8,124.64,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7327505,"CONT, 8 OZ FOAM",1000,1 CT,DART,8,N,33.67,33.67,8,269.36,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7329006,"CONT, 12 OZ SQUAT FOAM",500,1 CT,DART,5.6,N,20.36,20.36,6,122.16,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7330509,"CONT, 16 OZ FOAM",500,1 CT,DART,6.5,N,22.69,22.69,2,45.38,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7332026,"CONT, 1COMP WHITE 9.5X9X3",200,1 CT,DART,9.1,N,17.03,17.03,44,749.32,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7333347,"CONT, 3COMP WHITE 9.5X9X3",200,1 CT,DART,11.6,N,18.05,18.05,54,974.7,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7333503,"LID, 20 SERIES VENT TRANSLUC",1000,1 CT,DART,9,N,19.14,19.14,14,267.96,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7335060,"LID, 32 SERIES VENTED TRANSL",5,100 CT,DART,10,N,12.46,12.46,4,49.84,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7540009,"CLEANER, ENZYME-BASED FLR&DR",4,1 GL,ARCOT,40,N,34.36,34.36,6,206.16,266580,ARCOT MANUFACTURING CORPORATION,2017
2,ALAMO CAFE'S,7621006,"PLATE, 9"" LAMINATED WHITE",125,4 CT,DART,9.37,N,21.45,21.45,4,85.8,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7623333,"PLATE, 6"" LAMINATED WHITE",1,1000 CT,DART,9.9,N,22.15,22.15,2,44.3,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7659005,"CONT, HOAGIE WHITE 10X5X3",500,1 CT,DART,13.97,N,49.75,49.75,2,99.5,112771,DART CONTAINER CORPORATION,2017
2,ALAMO CAFE'S,7852502,"TOOTHPICKS, ROUND (HOTEL PK)",24,800 CT,ROYAL,6.25,N,12.28,12.28,2,24.56,104388,ROYAL PAPER PRODUCTS,2017
2,ALAMO CAFE'S,7996300,"SHORTENING, EIE ULTRA AP",1,50 LB,BUNGE,51,N,43.12,43.12,45,1940.4,106135,BUNGE OILS INC,2017
2,ALAMO CAFE'S,8004103,"OIL, SALAD SOYBEAN",1,35 LB.,BUNGE,37,N,21.1,21.1,4,84.4,106135,BUNGE OILS INC,2017
2,ALAMO CAFE'S,8145623,MARGARINE (OLEO SOLIDS),30,1 LB,VENTURA,31,N,14.87,14.87,118,1754.66,165690,"VENTURA FOODS, INC.",2017
2,ALAMO CAFE'S,8241007,"TEA, ICED AUTO BREW BAG FP",32,4 OZ,TETLEY,8.9,N,28.55,28.55,60,1713,202280,TETLEY HARRIS FOOD GROUP,2017
2,ALAMO CAFE'S,8428338,"SANITIZER, QUAT OASIS 146",1,2.5 GL,ECOLAB,22,N,133.39,133.39,14,1867.46,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8428486,"DETERGENT,SOLID POWER XL",4,9 LB,ECOLAB,39,N,197.59,197.59,10,1975.9,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8428493,LIQUID PANTASTIC POT&PAN,1,5 GL,ECOLAB,46.7,N,158.11,158.11,20,3162.2,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8428903,"PRESOAK, ASSURE LIQUID",4,1 GL,ECOLAB,40.6,N,159.49,159.49,6,956.94,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8458500,"FLOOR, QUARRY OASIS 125 XP",1,2.5 GL,ECOLAB,23.5,N,124.39,124.39,6,746.34,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8458556,"RINSE AID, LTEMP ULTRA DRY",1,4.5 GL,ECOLAB,42.5,N,229.5,229.5,2,459,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8458861,"SANITIZER, LTEMP ULTRASAN",1,5 GL,ECOLAB,51.3,N,67.19,67.19,4,268.76,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,8512501,"SUGAR, GRANULATED EFG",1,50 LB.,IMPERIAL,51.72,N,23.36,23.36,60,1401.6,215740,"IMPERIAL DISTRIBUTING, INC.",2017
2,ALAMO CAFE'S,8522702,"KIT-EXHW PS WH F,K,S,S&P,NAP",1,250 CT,WALLACE,13.25,N,19.75,19.75,34,671.5,245190,WALLACE PACKAGING LLC,2017
2,ALAMO CAFE'S,8524100,"BROOM LOBBY SYNTH ANGLE 55""",1,1 CT,ACS,1.58,N,4.84,4.84,24,116.16,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,8562431,"SWEETNER, ASPARTAME,BLU PKT",2000,0.8 GM,CAFE DLT,4.8,N,13.57,13.57,2,27.14,101559,DIAMOND CRYSTAL,2017
2,ALAMO CAFE'S,8562449,"SUGAR SUBSTITUTE, PINK PCKT",2,1250 CT,CAFE DLT,6.7,N,15.09,15.09,8,120.72,101559,DIAMOND CRYSTAL,2017
2,ALAMO CAFE'S,8650186,"PEPPER JACK, LOAF",2,5LB,LA FERIA,10.9,N,24.88,24.88,30,746.4,168040,SCHREIBER CHEESE,2017
2,ALAMO CAFE'S,8719619,"LOAF, EXTRA MELT AMERICAN Y",6,5 LB,LANDOLAKE,31.75,N,67.13,67.13,416,27926.08,102849,"LAND O' LAKES, INC.",2017
2,ALAMO CAFE'S,8806511,TILAPIA FILLET 5-7OZ IVP CO,1,10 LB,AQUA STAR,10,N,24,24,30,720,248040,AQUA STAR USA CORP.,2017
2,ALAMO CAFE'S,8841395,SHRIMP 90-110 PDT-OFF RAW WH,5,2 LB,AQUA STAR,10,N,42,42,28,1176,248040,AQUA STAR USA CORP.,2017
2,ALAMO CAFE'S,8842356,SHRIMP 30-40 P&DTOFF RAW WHT,5,2 LB,AQUA STAR,10,N,51,51,36,1836,248040,AQUA STAR USA CORP.,2017
2,ALAMO CAFE'S,8951136,"CHEESE, CHIHUAHUA SLAB",4,10 LB,SUPREMO,40,Y,3.82,152.8,1,152.8,168040,SCHREIBER CHEESE,2017
2,ALAMO CAFE'S,8960004,"PATTY, GRND BF 5/1 80/20 RND",50,3.2 OZ,ROCHESTER,10,N,29.5,29.5,16,472,222560,ROCHESTER MEAT COMPANY,2017
2,ALAMO CAFE'S,9050584,"FRIES, SC 3/8"" XLF",6,5 LB,CLASSIC,32,N,29.9,29.9,90,2691,130885,J.R. SIMPLOT COMPANY,2017
2,ALAMO CAFE'S,9184649,"OREGANO LEAVES, WHOLE",1,5 OZ,DURKEE,0.52,N,5.41,5.41,6,32.46,165230,"ACH FOOD COMPANIES, INC",2017
2,ALAMO CAFE'S,9230071,"BUN HAMBURGER SL 3.75""",120,1.8 OZ,BAKECRAFTE,15,N,19.79,19.79,6,118.74,239540,BAKE CRAFTERS FOOD COMPANY,2017
2,ALAMO CAFE'S,9231606,DEMI-LOAF DOUGH WHITE,60,6 OZ,BRIDGFORD,24,N,20.4,20.4,6,122.4,111155,BRIDGFORD FOODS CORPORATION,2017
2,ALAMO CAFE'S,9288721,"PIE CRUST, GRAHAM 9"" W/LID",12,6 OZ,NABISCO,5.75,N,22.2,22.2,2,44.4,270740,MONDELEZ,2017
2,ALAMO CAFE'S,9392592,"DEGREASER, ALLPURPS ORNG FRC",1,2.5 GL,ECOLAB,22.7,N,121.87,121.87,2,243.74,101729,"ECOLAB, INC.",2017
2,ALAMO CAFE'S,9400270,"SPOON SERVING BLACK 10""",1,72 CT,SABERT,4,N,18.43,18.43,4,73.72,229180,SABERT,2017
2,ALAMO CAFE'S,9689241,"BAG, PAPER BROWN 16LB",1,500 CT,DURO,23.5,N,19.86,19.86,10,198.6,109479,DURO BAG MANUFACTURING COMPANY,2017
2,ALAMO CAFE'S,9801226,TOMATILLO WITHOUT HUSK,7,5 LB,TOMATO,35,N,16.95,16.95,6,101.7,289520,PREMIER PRODUCE SERVICES LLC,2017
2,ALAMO CAFE'S,9801238,CARROT JUMBO 50LB SACK,2,25 LB,CARROT,50,N,7.5,7.5,4,30,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9802562,JALAPENO 35 LB,7,5 LB,PEPPER,40,N,22.55,22.55,12,270.6,229440,SOUTH MILL - HOUSTON,2017
2,ALAMO CAFE'S,9803156,CAULIFLOWER FRESH 9CT - 12CT,3,3 CT,CAULIFLWR,30,N,21.4,21.4,16,342.4,135003,WILLSON DAVIS COMPANY,2017
2,ALAMO CAFE'S,9803776,LIME 150 CT,3,10 LB,CITRUS,40,N,25.4,25.4,72,1828.8,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9804006,LEMON FRESH 165 CHOICE,7,5 LBS,CITRUS,40,N,39.65,39.65,8,317.2,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9804998,LETTUCE ICEBERG 24 CT liner,1,24 CT,LETTUCE,45,N,13.75,13.75,38,522.5,135003,WILLSON DAVIS COMPANY,2017
2,ALAMO CAFE'S,9805094,"LETTUCE DQ SHRED 1/4""",4,5 LB,LETTUCE,20,N,16.15,16.15,140,2261,132136,TAYLOR FARMS,2017
2,ALAMO CAFE'S,9805227,POTATO ID. JBO #1 12OZ MIN,1,50 LB,POTATO,50,N,15.65,15.65,14,219.1,250470,"SUN GLO OF IDAHO, INC.",2017
2,ALAMO CAFE'S,9805250,LETTUCE ROMAINE 24 CT,2,12 CT,LETTUCE,42,N,17.25,17.25,38,655.5,135003,WILLSON DAVIS COMPANY,2017
2,ALAMO CAFE'S,9807009,MUSHROOM (GENERIC-FS),1,10 LB,MUSHROOM,10,N,14.6,14.6,18,262.8,229440,SOUTH MILL - HOUSTON,2017
2,ALAMO CAFE'S,9808205,ONION JUMBO YELLOW #1,1,50 LB,ONION,50,N,11.8,11.8,140,1652,135003,WILLSON DAVIS COMPANY,2017
2,ALAMO CAFE'S,9809047,SERRANO 35 LB,6,5 LB,PEPPER,35,N,26.4,26.4,14,369.6,229440,SOUTH MILL - HOUSTON,2017
2,ALAMO CAFE'S,9812009,ZUCCHINI MEDIUM,4,5 LB,SQUASH,25,N,9.15,9.15,6,54.9,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9812181,SQUASH YELLOW MEDIUM,4,5 LB,SQUASH,25,N,12.95,12.95,8,103.6,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9812587,TOMATO COOKER/CAFE,1,25 LB,TOMATO,25,N,7.5,7.5,188,1410,205940,MURPHY TOMATOES,2017
2,ALAMO CAFE'S,9812850,TOMATO 5X6 2-LAYER,1,20 LB,TOMATO,20,N,12.95,12.95,98,1269.1,205940,MURPHY TOMATOES,2017
2,ALAMO CAFE'S,9813114,TOMATO GRAPE 12-1 PINTS,2,6 PINTS,TOMATO,9,N,9.65,9.65,38,366.7,205940,MURPHY TOMATOES,2017
2,ALAMO CAFE'S,9814930,SPINACH CLEAN/TRIM FLAT LEAF,4,2.5 LB,SPINACH,11.6,N,13.1,13.1,12,157.2,291030,"MUZZI FAMILY FARMS, LLC",2017
2,ALAMO CAFE'S,9815150,CELERY 30-36 CT,5,6 CT,CELERY,50,N,39.75,39.75,16,636,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9815259,CILANTRO 60 CT,10,6 CT,HERB,18,N,15.4,15.4,24,369.6,229440,SOUTH MILL - HOUSTON,2017
2,ALAMO CAFE'S,9820200,PEPPER BELL GRN CHOICE 25LB,5,5 LB,PEPPER,25,N,9.15,9.15,78,713.7,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9823014,"BROCCOLI, CROWN",1,20 LB,BROCCOLI,36,N,18.4,18.4,34,625.6,120294,TOUCHSTONE AND ASSOCIATES,2017
2,ALAMO CAFE'S,9870018,"SPINACH, CHOPPED",12,3 LB,FLAV R PAC,40,N,27.27,27.27,4,109.08,177030,NORPAC SERVICES INC.,2017
59,TAQUERIAS ARANDAS ACCOUNTS,11430,"CHICK, NUGGET TEMPURA RAW",2,5 LB,TYSON RL,10.81,N,18,18,57,1026,105333,"TYSON FOODS, INC.",2017
59,TAQUERIAS ARANDAS ACCOUNTS,41056,HANDLE MOP WOOD SCREW TOP 60,1,1 EA,ACS,1.1,N,3.38,3.38,1,3.38,252250,ACS INDUSTRIES,2017
59,TAQUERIAS ARANDAS ACCOUNTS,41427,"FILM, CLING CLASS CUTTER BOX",1,12X2000,A E P,5.8,N,10.28,10.28,6,61.68,214710,AEP INDUSTRIES INC,2017
59,TAQUERIAS ARANDAS ACCOUNTS,41428,"FILM, CLING CLASS CUTTER BOX",1,18X2000,A E P,8.5,N,15.24,15.24,23,350.52,214710,AEP INDUSTRIES INC,2017
59,TAQUERIAS ARANDAS ACCOUNTS,201111,"CHERRIES, MARA LARGE W/STEMS",1,1/2 GAL,DIANA,5,N,7.1,7.1,5,35.5,190390,LABATT REPLENISHMENT,2017
59,TAQUERIAS ARANDAS ACCOUNTS,948000,"JUICE, LEMON",4,1 GALLON,REALEMON,37.2,N,30.59,30.59,18,550.62,139688,MOTT'S,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1128008,CREAM OF COCONUT,24,15.5 OZ,COSTAMAR,28,N,39.6,39.6,3,118.8,105481,AMERICAN ROLAND FOOD CORPORATION,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1128016,CREAM OF COCONUT,24,15.5 OZ,COCO LOPEZ,28,N,49.9,49.9,2,99.8,105481,AMERICAN ROLAND FOOD CORPORATION,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1129600,CLAMATO,12,1 LITER,MOTT'S,30.1,N,26.33,26.33,15,394.95,139688,MOTT'S,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1129601,CLAMATO,1,1 LT,MOTT'S,30.1,N,2.2,2.2,3,6.6,190390,LABATT REPLENISHMENT,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1160006,PEAS AND CARROTS IQF,1,20 LB,FLAV R PAC,21,N,16.48,16.48,7,115.36,177030,NORPAC SERVICES INC.,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1165725,MIXED VEGETABLES IQF,12,2.5 LB,NORPAC,32,N,23.5,23.5,2,47,177030,NORPAC SERVICES INC.,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1165726,MIXED VEGETABLES IQF,1,20 LB,NORPAC,21,N,15.46,15.46,64,989.44,177030,NORPAC SERVICES INC.,2017
59,TAQUERIAS ARANDAS ACCOUNTS,1983141,"JALAPENOS, NACHO SLICED",6,#10,LACOMADRE,45,N,21.9,21.9,5,109.5,108022,EMPACADORA DEL GOLFO USA LLC,2017
59,TAQUERIAS ARANDAS ACCOUNTS,2280010,"KETCHUP, FANCY 33% PC",1000,9GM,RED GOLD,23,N,16.68,16.68,9,150.12,210810,RED GOLD INC,2017
59,TAQUERIAS ARANDAS ACCOUNTS,2280015,"KETCHUP, FANCY 33% DIS POUCH",2,1.5 GAL,RED GOLD,33,N,17.07,17.07,33,563.31,210810,RED GOLD INC,2017
59,TAQUERIAS ARANDAS ACCOUNTS,2415165,"BASE,CALDO DE TOMATE DRY/GRN",4,4.4 LB,KNORR,19.4,N,44.7,44.7,8,357.6,107115,UNILEVER BESTFOODS,2017
